Month,Production,Sales ,demand,population,gdp,disbusment,interestrate
17-Aug,321,348,296,134.8,232428.303,159916.19,8.71
17-Sep,359,377,398,134.9,238209.633,158300.36,8.67
17-Oct,388,398,405,135,243990.963,156684.53,8.62
17-Nov,689,664,681,135.2,248749.296,155068.7,8.58
17-Dec,704,681,710,135.3,253507.629,153452.87,8.54
18-Jan,755,734,783,135.4,258265.962,151837.04,8.5
18-Feb,701,689,722,135.5,255961.962,151712.04,8.46
18-Mar,429,421,449,135.7,253657.962,151587.04,8.42
18-Apr,422,414,448,135.8,251353.962,151587.04,8.37
18-May,443,423,460,135.9,247308.962,151462.04,8.33
18-Jun,410,401,386,136,243263.962,151337.04,8.29
18-Jul,396,383,375,136.2,239218.962,151212.04,8.25
18-Aug,378,386,380,136.3,246475.295,151087.04,8.21
18-Sep,386,369,395,136.4,253731.628,150962.04,8.17
18-Oct,396,391,425,136.5,260987.961,150837.04,8.12
18-Nov,691,673,702,136.7,265734.628,150712.04,8.08
18-Dec,736,721,752,136.8,270481.295,150587.04,8.04
19-Jan,791,771,764,136.9,275227.962,150337,8
19-Feb,777,786,787,137,270061.292,150550.75,7.92
19-Mar,445,434,343,137.1,264894.622,150764.5,7.83
19-Apr,464,311,453,137.3,259727.952,150978.25,7.75
19-May,369,195,354,137.4,253415.952,151192,7.67
19-Jun,323,200,360,137.5,247103.952,151405.75,7.58
19-Jul,360,256,310,137.6,240791.952,151619.5,7.5
19-Aug,331,270,321,137.7,246430.619,151833.25,7.42
19-Sep,333,260,315,137.8,252069.286,152047,7.33
19-Oct,366,281,358,138,257707.953,152260.75,7.25
19-Nov,771,531,750,138.1,265288.953,152474.5,7.17
19-Dec,691,537,686,138.2,272869.953,152688.25,7.08
20-Jan,675,514,686,138.3,280450.953,152902,7
20-Feb,700,578,684,138.4,230779.653,156052.67,7.05
20-Mar,419,500,486,138.5,181108.353,159203.33,7.1
20-Apr,399,414,408,138.6,131437.053,162354,7.15
20-May,425,405,405,138.8,162590.383,165504.67,7.2
20-Jun,445,414,410,138.9,193743.713,168655.34,7.25
20-Jul,356,336,386,139,224897.043,171806,7.3
20-Aug,326,322,326,139.1,241515.373,174956.67,7.35
20-Sep,388,423,388,139.2,258133.703,178107.34,7.4
20-Oct,337,354,337,139.3,274752.033,181258,7.45
20-Nov,731,717,784,139.4,293751.033,184408.67,7.5
20-Dec,691,665,685,139.5,312750.033,187559.34,7.55
21-Jan,821,809,810,139.6,331749.033,190710,7.6
21-Feb,811,829,802,139.7,296221.433,192776.05,7.64
21-Mar,467,511,524,139.8,260693.833,194842.1,7.68
21-Apr,440,423,435,139.9,225166,196908.15,7.73
21-May,489,439,428,140,231134.33,198974.19,7.77
21-Jun,440,423,439,140.1,237102.66,201040.24,7.81
21-Jul,388,382,400,140.2,243070.99,203106.29,7.85
21-Aug,396,391,395,140.3,251071.99,205172.33,7.89
21-Sep,406,420,415,140.4,259072.99,207238.38,7.93
21-Oct,423,408,406,140.5,267073.99,209304.43,7.98
21-Nov,830,843,858,140.6,290810.32,211370.47,8.02
21-Dec,894,858,885,140.7,314546.65,213436.52,8.06
22-Jan,825,823,835,140.8,338282.98,215502.57,8.1
22-Feb,848,836,853,140.8,313161.38,217568.62,8.14
22-Mar,531,514,625,140.9,288039.68,219634.66,8.18
22-Apr,487,477,495,141,262917.98,221700.71,8.23
22-May,531,514,596,141.1,261644.65,223766.76,8.27
22-Jun,586,574,685,141.2,260371.32,225832.8,8.31
22-Jul,434,430,547,141.3,259097.99,227898.85,8.35
22-Aug,422,419,526,141.4,257824.66,229964.9,8.39
22-Sep,433,431,502,141.5,256551.33,232030.94,8.43
22-Oct,453,451,625,141.6,255278,234096.99,8.48
22-Nov,903,895,900,141.7,254004.67,236163.04,8.6
